,Description,Parameters,Return,ApiLevel,ClassDescription,PackageDescription,sensitive data?,shared resource?,sensitive shared resource?,produces sensitive data from shared resource?,writes sensitive data to shared resource?,Source?,Sink?,Needs Clarification
<android.bluetooth.BluetoothAdapter: int getScanMode()>,"Get the current Bluetooth scan mode of the local Bluetooth adapter. The Bluetooth scan mode determines if the local adapter is
 connectable and/or discoverable from remote Bluetooth devices. Possible values are: SCAN_MODE_NONE  SCAN_MODE_CONNECTABLE  SCAN_MODE_CONNECTABLE_DISCOVERABLE . If Bluetooth state is not STATE_ON this API
 will return SCAN_MODE_NONE . After turning on Bluetooth
 wait for ACTION_STATE_CHANGED with STATE_ON to get the updated value. Requires Manifest.permission.BLUETOOTH",,"int scan mode
 
 Value is SCAN_MODE_NONE  SCAN_MODE_CONNECTABLE or SCAN_MODE_CONNECTABLE_DISCOVERABLE |||",5,"Represents the local device Bluetooth adapter. The  BluetoothAdapter 
 lets you perform fundamental Bluetooth tasks such as initiate
 device discovery query a list of bonded (paired) devices
 instantiate a  BluetoothDevice  using a known MAC address and create
 a  BluetoothServerSocket  to listen for connection requests from other
 devices and start a scan for Bluetooth LE devices.

  To get a  BluetoothAdapter  representing the local Bluetooth
 adapter call the  BluetoothManager#getAdapter  function on  BluetoothManager .
 On JELLY_BEAN_MR1 and below you will need to use the static  getDefaultAdapter() 
 method instead.
  
 Fundamentally this is your starting point for all
 Bluetooth actions. Once you have the local adapter you can get a set of
  BluetoothDevice  objects representing all paired devices with
  getBondedDevices() ; start device discovery with
  startDiscovery() ; or create a  BluetoothServerSocket  to
 listen for incoming RFComm connection requests with  listenUsingRfcommWithServiceRecord(java.lang.String java.util.UUID) ; listen for incoming L2CAP Connection-oriented
 Channels (CoC) connection requests with  listenUsingL2capChannel() ; or start a scan for
 Bluetooth LE devices with  startLeScan(android.bluetooth.BluetoothAdapter.LeScanCallback) .
  This class is thread safe. Note: 
 Most methods require the  Manifest.permission.BLUETOOTH 
 permission and some also require the
  Manifest.permission.BLUETOOTH_ADMIN  permission.","Provides classes that manage Bluetooth functionality such as scanning for
 devices connecting with devices and managing data transfer between devices.
 The Bluetooth API supports both ""Classic Bluetooth"" and Bluetooth Low Energy. For more information about Classic Bluetooth see the
  Bluetooth  guide.
 For more information about Bluetooth Low Energy see the
  
 Bluetooth Low Energy  (BLE) guide. The Bluetooth APIs let applications: Scan for other Bluetooth devices (including BLE devices). Query the local Bluetooth adapter for paired Bluetooth devices. Establish RFCOMM channels/sockets. Connect to specified sockets on other devices. Transfer data to and from other devices. Communicate with BLE devices such as proximity sensors heart rate
     monitors fitness devices and so on. Act as a GATT client or a GATT server (BLE). 
 To perform Bluetooth communication using these APIs an application must
 declare the  BLUETOOTH  permission. Some
 additional functionality such as requesting device discovery
 also requires the  BLUETOOTH_ADMIN 
 permission.
  Note: 
 Not all Android-powered devices provide Bluetooth functionality.",bluetoothmetadat?,bluetooth,1,yes?,no,SOURCE,no,Is metadata like this sensitive
"<android.test.ProviderTestCase: ContentResolver newResolverWithContentProviderFromSql(Context,Class,String,String,int,String)>",,"targetContext Context |||
providerClass Class |||
authority String |||
databaseName String |||
databaseVersion int |||
sql String |||",ContentResolver |||,1,"If you would like to test a single content provider with an
  InstrumentationTestCase  this provides some of the boiler plate in  setUp()  and
  tearDown() .",,uncategorized,database,1,yes?,no,no,no,"Seems like a source, but its uncategorized sensitive data. Is any data from any database sensitive?"
<android.content.Intent: float getFloatArrayExtra(String)>,Retrieve extended data from the intent.,name String : The name of the desired item. |||,"float[] the value of an item previously added with putExtra()
 or null if no float array value was found. |||",1,"An intent is an abstract description of an operation to be performed.  It
 can be used with  Context#startActivity(Intent)  to
 launch an  Activity 
  broadcastIntent  to
 send it to any interested  BroadcastReceiver  components
 and  Context.startService(Intent)  or
  Context.bindService(Intent ServiceConnection int)  to communicate with a
 background  Service .

  An Intent provides a facility for performing late runtime binding between the code in
 different applications. Its most significant use is in the launching of activities where it
 can be thought of as the glue between activities. It is basically a passive data structure
 holding an abstract description of an action to be performed.","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",no,no,0,no,no,no,no,Are intents inherently sensitive? Could feasibly have sensitive info in it I think
<android.os.UserManager: int getUserCount()>,Return the number of users currently created on the device. This API is not for use by third-party apps. It requires the MANAGE_USERS permission.,,int |||,17,"Manages users and user details on a multi-user system. There are two major categories of
 users: fully customizable users with their own login and managed profiles that share a workspace
 with a related user.
  
 Users are different from accounts which are managed by
  AccountManager . Each user can have their own set of accounts.
  
 See  DevicePolicyManager#ACTION_PROVISION_MANAGED_PROFILE  for more on managed profiles.",,account info,sim card?,1,yes,no,SOURCE,no,Not sure about account category.
"<android.text.SpannableStringBuilder: void setSpan(Object,int,int,int)>","Mark the specified range of text with the specified object.
 The flags determine how the span will behave when text is
 inserted at the start or end of the span's range.","what Object |||
start int |||
end int |||
flags int |||",void,1,"This is the class for text whose content is immutable but to which
 markup objects can be attached and detached.
 For mutable text see  SpannableStringBuilder .","Provides classes used to render or track text and text spans on the screen. You can use these classes to design your own widgets that manage text
 to handle arbitrary text spans for changes or to handle drawing yourself
 for an existing widget. The Span… interfaces and classes are used to create or manage spans of
 text in a View item. You can use these to style the text or background or to
 listen for changes. If creating your own widget extend DynamicLayout to manages
 the actual wrapping and drawing of your text.",no,UI,0,no,no,no,no,
<android.view.accessibility.AccessibilityRecord: AccessibilityNodeInfo getSource()>,"Gets the AccessibilityNodeInfo of the event source. Note: It is a client responsibility to recycle the received info
   by calling AccessibilityNodeInfo#recycle() to avoid creating of multiple instances.",,AccessibilityNodeInfo The info of the source. |||,14,"Represents a record in an  AccessibilityEvent  and contains information
 about state change of its source  View . When a view fires
 an accessibility event it requests from its parent to dispatch the
 constructed event. The parent may optionally append a record for itself
 for providing more context to
  AccessibilityService s. Hence
 accessibility services can facilitate additional accessibility records
 to enhance feedback.
  
 Once the accessibility event containing a record is dispatched the record is
 made immutable and calling a state mutation method generates an error.
  Note:  Not all properties are applicable to all accessibility
 event types. For detailed information please refer to  AccessibilityEvent .","The classes in this package are used to represent screen content and changes to it
   as well as APIs for querying the global accessibility state of the system.
  AccessibilityEvent s are sent by the system when
   something notable happens in the user interface. For example when a
    Button  is clicked a  View  is focused etc.
  AccessibilityRecord  contains information
   about state change of its source  View . When a view fires
   an accessibility event it requests from its parent to dispatch the
   constructed event. The parent may optionally append a record for itself for
   providing more context to  AccessibilityService s.
   Hence accessibility services can facilitate additional accessibility records
   to enhance feedback.
  AccessibilityNodeInfo  represents a node of the
   window content as well as actions that can be requested from its source. From the point
   of view of an  AccessibilityService  a window content is
   presented as tree of accessibility node info which may or may not map one-to-one
   to the view hierarchy. In other words a custom view is free to report itself as
   a tree of accessibility node info.
  AccessibilityManager  is a system level service that
   serves as an event dispatch for   AccessibilityEvent s
   and provides facilities for querying the accessibility state of the system. Accessibility
   events are generated when something notable happens in the user interface for example an
    Activity  starts the focus or selection of a  View 
   changes etc. Parties interested in handling accessibility events implement and register an
   accessibility service which extends  AccessibilityService .",no?,UI,1,no,no,no,no,Not sure about this one. Is accessability info sensitive?
<android.os.Bundle: byte getByte(String)>,"Returns the value associated with the given key or (byte) 0 if
 no mapping of the desired type exists for the given key.",key String : a String |||,byte a byte value |||,1,A mapping from String keys to various  Parcelable  values.,,no,no,0,no,no,no,no,
<android.app.ActivityManager: List getRunningTasks(int)>,"This method was deprecated
      in API level 21. As of Build.VERSION_CODES.LOLLIPOP this method
 is no longer available to third party
 applications: the introduction of document-centric recents means
 it can leak person information to the caller.  For backwards compatibility
 it will still return a small subset of its data: at least the caller's
 own tasks and possibly some other tasks
 such as home that are known to not be sensitive. Return a list of the tasks that are currently running with
 the most recent being first and older ones after in order.  Note that
 ""running"" does not mean any of the task's code is currently loaded or
 activity -- the task may have been frozen by the system so that it
 can be restarted in its previous state when next brought to the
 foreground. Note: this method is only intended for debugging and presenting
 task management user interfaces .  This should never be used for
 core logic in an application such as deciding between different
 behaviors based on the information found here.  Such uses are not supported and will likely break in the future.  For
 example if multiple applications can be actively running at the
 same time assumptions made about the meaning of the data here for
 purposes of control flow will be incorrect.","maxNum int : The maximum number of entries to return in the list.  The
actual number returned may be smaller depending on how many tasks the
user has started. |||","List < ActivityManager.RunningTaskInfo > Returns a list of RunningTaskInfo records describing each of
 the running tasks. |||",1,"An activity is a single focused thing that the user can do.  Almost all
 activities interact with the user so the Activity class takes care of
 creating a window for you in which you can place your UI with
  setContentView(View) .  While activities are often presented to the user
 as full-screen windows they can also be used in other ways: as floating
 windows (via a theme with  R.attr.windowIsFloating  set)
  
 Multi-Window mode  or embedded into other windows.

 There are two methods almost all subclasses of Activity will implement:

  onCreate(Bundle)  is where you initialize your activity.  Most
     importantly here you will usually call  setContentView(int) 
     with a layout resource defining your UI and using  findViewById(int) 
     to retrieve the widgets in that UI that you need to interact with
     programmatically.

      onPause()  is where you deal with the user pausing active
     interaction with the activity. Any changes made by the user should at
     this point be committed (usually to the
      ContentProvider  holding the data). In this
     state the activity is still visible on screen.
  To be of use with  Context.startActivity()  all
 activity classes must have a corresponding
  <activity> 
 declaration in their package's  AndroidManifest.xml . Topics covered here:
  Fragments Activity Lifecycle Configuration Changes Starting Activities and Getting Results Saving Persistent State Permissions Process Lifecycle","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",no,no,0,no,no,no,no,"The docs (with one grammar error) clearly say this method leaks personal info. However, I don't see how it fits into our scheme"
"<android.app.Activity: void startIntentSender(IntentSender,Intent,int,int,int)>",Same as calling startIntentSender(android.content.IntentSender android.content.Intent int int int android.os.Bundle) with no options.,"intent IntentSender : The IntentSender to launch. |||
fillInIntent Intent : If non-null this will be provided as the
intent parameter to IntentSender#sendIntent .
This value may be null . |||
flagsMask int : Intent flags in the original IntentSender that you
would like to change. |||
flagsValues int : Desired values for any bits set in flagsMask |||
extraFlags int : Always set to 0. |||",void,5,"An activity is a single focused thing that the user can do.  Almost all
 activities interact with the user so the Activity class takes care of
 creating a window for you in which you can place your UI with
  setContentView(View) .  While activities are often presented to the user
 as full-screen windows they can also be used in other ways: as floating
 windows (via a theme with  R.attr.windowIsFloating  set)
  
 Multi-Window mode  or embedded into other windows.

 There are two methods almost all subclasses of Activity will implement:

  onCreate(Bundle)  is where you initialize your activity.  Most
     importantly here you will usually call  setContentView(int) 
     with a layout resource defining your UI and using  findViewById(int) 
     to retrieve the widgets in that UI that you need to interact with
     programmatically.

      onPause()  is where you deal with the user pausing active
     interaction with the activity. Any changes made by the user should at
     this point be committed (usually to the
      ContentProvider  holding the data). In this
     state the activity is still visible on screen.
  To be of use with  Context.startActivity()  all
 activity classes must have a corresponding
  <activity> 
 declaration in their package's  AndroidManifest.xml . Topics covered here:
  Fragments Activity Lifecycle Configuration Changes Starting Activities and Getting Results Saving Persistent State Permissions Process Lifecycle","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",no,no,0,no,no,no,no,
<android.app.WallpaperManager: Drawable getDrawable()>,"Retrieve the current system wallpaper; if
 no wallpaper is set the system built-in static wallpaper is returned.
 This is returned as an
 abstract Drawable that you can install in a View to display whatever
 wallpaper the user has currently set. This method can return null if there is no system wallpaper available if
 wallpapers are not supported in the current user or if the calling app is not
 permitted to access the system wallpaper.",,"Drawable Returns a Drawable object that will draw the system wallpaper
     or null if no system wallpaper exists or if the calling application
     is not able to access the wallpaper. |||",5,"Provides access to the system wallpaper. With WallpaperManager you can
 get the current wallpaper get the desired dimensions for the wallpaper set
 the wallpaper and more.

   An app can check whether wallpapers are supported for the current user by calling
  isWallpaperSupported()  and whether setting of wallpapers is allowed by calling
  isSetWallpaperAllowed() .","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",no,UI,0,no,no,no,no,
