,Old Annotation,New Annotation,Description,Parameters,Return,ClassDescription,PackageDescription
<android.icu.text.CaseMap.Title: CaseMap.Title wholeString()>,NEITHER,NEITHER,"Returns an instance that behaves like this one but
 titlecases the string as a whole rather than each word.
 (Titlecases only the character at index 0 possibly adjusted.) It is an error to specify multiple titlecasing iterator options together
 including both an option and an explicit BreakIterator.",,CaseMap.Title an options object with this option. |||,"Low-level case mapping options and methods. Immutable.
 ""Setters"" return instances with the union of the current and new options set.

 This class is not intended for public subclassing.",
"<android.net.wifi.aware.WifiAwareNetworkInfo: void writeToParcel(Parcel,int)>",NEITHER,NEITHER,Flatten this object in to a Parcel.,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",void,"Wi-Fi Aware-specific network information. The information can be extracted from the
  NetworkCapabilities  of the network using
  NetworkCapabilities#getTransportInfo() .
 The  NetworkCapabilities  is provided by the connectivity service to apps e.g. received
 through the
  ConnectivityManager.NetworkCallback.onCapabilitiesChanged(android.net.Network android.net.NetworkCapabilities)  callback.
  
 The Wi-Fi Aware-specific network information include the peer's scoped link-local IPv6 address
 for the Wi-Fi Aware link as well as (optionally) the port and transport protocol specified by
 the peer.
 The scoped link-local IPv6 port and transport protocol can then be used to create a
  Socket  connection to the peer.
  
 Note: these are the peer's IPv6 and port information - not the local device's!","Provides classes to manage Wi-Fi functionality on the device. The Wi-Fi APIs provide a means by which applications can communicate
 with the lower-level wireless stack that provides Wi-Fi network access. Almost all
 information from the device supplicant is available including the connected network's
 link speed IP address negotiation state and more plus information about other
 networks that are available. Some other API features include the ability to
 scan add save terminate and initiate Wi-Fi connections. Some APIs may require the following user permissions: ACCESS_WIFI_STATE CHANGE_WIFI_STATE CHANGE_WIFI_MULTICAST_STATE Note:  Not all Android-powered devices provide Wi-Fi functionality.
 If your application uses Wi-Fi declare so with a  <uses-feature> 
 element in the manifest file: 
 <manifest ...>
     <uses-feature android:name=""android.hardware.wifi"" />
     ...
 </manifest>"
<android.net.wifi.rtt.ResponderLocation: SparseArray toCivicLocationSparseArray()>,NEITHER,SOURCE,,,SparseArray < String > the civic location represented as a SparseArray Valid keys to access the SparseArray can be found in CivicLocationKeys . Will return a null when there is no Civic Location defined. |||,"ResponderLocation is both a Location Configuration Information (LCI) decoder and a Location Civic
 Report (LCR) decoder for information received from a Wi-Fi Access Point (AP) during Wi-Fi RTT
 ranging process.

  This is based on the IEEE P802.11-REVmc/D8.0 spec section 9.4.2.22 under Measurement Report
 Element. Subelement location data-fields parsed from separate input LCI and LCR Information
 Elements are unified in this class. Note: The information provided by this class is broadcast by a responder (usually an Access
 Point) and passed on as-is. There is no guarantee this information is accurate or correct and
 as a result developers should carefully consider how this information should be used and provide
 corresponding advice to users.","Provides classes which allow applications to use Wi-Fi RTT (IEEE 802.11mc) to measure distance
     to supporting Access Points and peer devices. The primary entry point to Wi-Fi RTT capabilities is the
      WifiRttManager  class which is acquired by calling
      Context.getSystemService(Context.WIFI_RTT_RANGING_SERVICE) Some APIs may require the following user permissions: ACCESS_WIFI_STATE CHANGE_WIFI_STATE ACCESS_FINE_LOCATION Usage of the API is also gated by the device's Location Mode: whether it permits Wi-Fi based
 location to be queried. Note:  Not all Android-powered devices support Wi-Fi RTT
     functionality.
     If your application only works with Wi-Fi RTT (i.e. it should only be installed on devices which
     support Wi-Fi RTT) declare so with a  <uses-feature> 
     element in the manifest file: 
 <manifest ...>
     <uses-feature android:name=""android.hardware.wifi.rtt"" />
     ...
 </manifest>
  Alternatively if your application does not require Wi-Fi RTT but can take advantage of it if
     available you can perform
     the check at run-time in your code using  hasSystemFeature(String)  with  FEATURE_WIFI_RTT : 
     getPackageManager().hasSystemFeature(PackageManager.FEATURE_WIFI_RTT)"
"<android.telephony.mbms.StreamingServiceInfo: void writeToParcel(Parcel,int)>",NEITHER,NEITHER,Flatten this object in to a Parcel.,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",void,Describes a single MBMS streaming service.,
<android.app.slice.SliceItem: CharSequence getText()>,NEITHER,SOURCE,,,CharSequence The text held by this FORMAT_TEXT SliceItem |||,"A SliceItem is a single unit in the tree structure of a  Slice .

 A SliceItem a piece of content and some hints about what that content
 means or how it should be displayed. The types of content can be:
  FORMAT_SLICE FORMAT_TEXT FORMAT_IMAGE FORMAT_ACTION FORMAT_INT FORMAT_LONG FORMAT_REMOTE_INPUT FORMAT_BUNDLE SliceItem Slice","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 designâ€”especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activityâ€”allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User ."
<android.net.IpSecTransform.Builder: IpSecTransform.Builder setEncryption(IpSecAlgorithm)>,NEITHER,SOURCE,Set the encryption algorithm. Encryption is mutually exclusive with authenticated encryption.,"algo IpSecAlgorithm : IpSecAlgorithm specifying the encryption to be applied.
This value must never be null . |||",IpSecTransform.Builder This value will never be null . |||,This class is used to build  IpSecTransform  objects.,
"<android.app.slice.SliceProvider: Uri insert(Uri,ContentValues)>",NEITHER,NEITHER,"Implement this to handle requests to insert a new row. As a courtesy
 call ContentResolver#notifyChange(android.net.Uri android.database.ContentObserver) after inserting. This method can be called from multiple
 threads as described in Processes
 and Threads .","uri Uri : The content:// URI of the insertion request.
This value must never be null . |||
values ContentValues : A set of column_name/value pairs to add to the database.
This value may be null . |||","Uri The URI for the newly inserted item.
 
 This value may be null . |||","A SliceProvider allows an app to provide content to be displayed in system spaces. This content
 is templated and can contain actions and the behavior of how it is surfaced is specific to the
 system surface.
  
 Slices are not currently live content. They are bound once and shown to the user. If the content
 changes due to a callback from user interaction then
  ContentResolver#notifyChange(Uri ContentObserver)  should be used to notify the system.
  
 The provider needs to be declared in the manifest to provide the authority for the app. The
 authority for most slices is expected to match the package of the application.
  
 <provider
     android:name=""com.example.mypkg.MySliceProvider""
     android:authorities=""com.example.mypkg"" />
  
 Slices can be identified by a Uri or by an Intent. To link an Intent with a slice the provider
 must have an  IntentFilter  matching the slice intent. When a slice is being requested via
 an intent  onMapIntentToUri(android.content.Intent)  can be called and is expected to return an
 appropriate Uri representing the slice.

  
 <provider
     android:name=""com.example.mypkg.MySliceProvider""
     android:authorities=""com.example.mypkg"">
     <intent-filter>
         <action android:name=""com.example.mypkg.intent.action.MY_SLICE_INTENT"" />
         <category android:name=""android.app.slice.category.SLICE"" />
     </intent-filter>
 </provider>","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 designâ€”especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activityâ€”allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User ."
<android.app.slice.Slice: List getItems()>,NEITHER,SOURCE,,,List < SliceItem > All child SliceItem s that this Slice contains. |||,"A slice is a piece of app content and actions that can be surfaced outside of the app.

  They are constructed using  Builder  in a tree structure
 that provides the OS some information about how the content should be displayed.","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 designâ€”especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activityâ€”allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User ."
<android.view.textclassifier.TextLinks.TextLinkSpan: TextLinks.TextLink getTextLink()>,NEITHER,NEITHER,,,TextLinks.TextLink |||,A link identifying a substring of text and possible entity types for it.,
"<android.telephony.mbms.DownloadRequest: void writeToParcel(Parcel,int)>",NEITHER,NEITHER,Flatten this object in to a Parcel.,"out Parcel : The Parcel in which the object should be written. |||
flags int : Additional flags about how the object should be written.
May be 0 or Parcelable.PARCELABLE_WRITE_RETURN_VALUE .
Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",void,"Describes a request to download files over cell-broadcast. Instances of this class should be
 created by the app when requesting a download and instances of this class will be passed back
 to the app when the middleware updates the status of the download.",
<android.app.admin.DevicePolicyManager: String getGlobalPrivateDnsHost(ComponentName)>,NEITHER,SOURCE,Returns the system-wide Private DNS host.,"admin ComponentName : which DeviceAdminReceiver this request is associated with.
This value must never be null . |||",String The hostname used for Private DNS queries null if none is set. |||,"Public interface for managing policies enforced on a device. Most clients of this class must be
 registered with the system as a  device
 administrator . Additionally a device administrator may be registered as either a profile or
 device owner. A given method is accessible to all device administrators unless the documentation
 for that method specifies that it is restricted to either device or profile owners. Any
 application calling an api may only pass as an argument a device administrator component it
 owns. Otherwise a  SecurityException  will be thrown.","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 designâ€”especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activityâ€”allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User ."
<android.hardware.camera2.params.MandatoryStreamCombination: CharSequence getDescription()>,NEITHER,SOURCE,Get the mandatory stream combination description.,,"CharSequence CharSequence with the mandatory combination description.
 
 This value will never be null . |||","Immutable class to store the available mandatory stream combination.

  A mandatory stream combination refers to a specific entry in the documented sets of
 required stream  CameraDevice#createCaptureSession .
 These combinations of streams are required to be supported by the camera device.

  The list of stream combinations is available by invoking
  CameraCharacteristics#get  and passing key
  CameraCharacteristics.SCALER_MANDATORY_STREAM_COMBINATIONS .","The android.hardware.camera2 package provides an interface to
 individual camera devices connected to an Android device. It replaces
 the deprecated  Camera  class. This package models a camera device as a pipeline which takes in
 input requests for capturing a single frame captures the single image
 per the request and then outputs one capture result metadata packet
 plus a set of output image buffers for the request. The requests are
 processed in-order and multiple requests can be in flight at
 once. Since the camera device is a pipeline with multiple stages
 having multiple requests in flight is required to maintain full
 framerate on most Android devices. To enumerate query and open available camera devices obtain a
  CameraManager  instance. Individual  CameraDevices  provide a set of static property information that
 describes the hardware device and the available settings and output
 parameters for the device. This information is provided through the
  CameraCharacteristics  object and is
 available through  getCameraCharacteristics(String) To capture or stream images from a camera device the application
 must first create a  camera capture session 
 with a set of output Surfaces for use with the camera device with
  createCaptureSession(SessionConfiguration) . Each
 Surface has to be pre-configured with an  appropriate
 size and format  (if applicable) to match the sizes and formats
 available from the camera device. A target Surface can be obtained
 from a variety of classes including  SurfaceView 
  SurfaceTexture  via
  Surface(SurfaceTexture) 
  MediaCodec   MediaRecorder 
  Allocation  and  ImageReader .
  Generally camera preview images are sent to  SurfaceView  or  TextureView  (via its
  SurfaceTexture ). Capture of JPEG images or
 RAW buffers for  DngCreator  can be
 done with  ImageReader  with the  JPEG  and  RAW_SENSOR  formats.  Application-driven
 processing of camera data in RenderScript OpenGL ES or directly in
 managed or native code is best done through  Allocation  with a YUV  Type   SurfaceTexture 
 and  ImageReader  with a  YUV_420_888  format respectively. The application then needs to construct a  CaptureRequest  which defines all the
 capture parameters needed by a camera device to capture a single
 image. The request also lists which of the configured output Surfaces
 should be used as targets for this capture. The CameraDevice has a
  factory method  for creating a  request builder  for a
 given use case which is optimized for the Android device the
 application is running on. Once the request has been set up it can be handed to the active
 capture session either for a one-shot  capture  or for
 an endlessly  repeating  use. Both methods also have a variant that accepts a list
 of requests to use as a burst capture / repeating burst. Repeating
 requests have a lower priority than captures so a request submitted
 through  capture()  while there's a repeating request
 configured will be captured before any new instances of the currently
 repeating (burst) capture will begin capture. After processing a request the camera device will produce a  TotalCaptureResult  object which contains
 information about the state of the camera device at time of capture
 and the final settings used. These may vary somewhat from the request
 if rounding or resolving contradictory parameters was necessary. The
 camera device will also send a frame of image data into each of the
 output  Surfaces  included in the request. These are produced
 asynchronously relative to the output CaptureResult sometimes
 substantially later."
"<android.telephony.SmsManager: String createAppSpecificSmsTokenWithPackageInfo(String,PendingIntent)>",NEITHER,SOURCE,"Create a single use app specific incoming SMS request for the calling package.

 This method returns a token that if included in a subsequent incoming SMS message and the
 SMS message has a prefix from the given prefixes list the provided intent will be
 sent with the SMS data to the calling package.

 The token is only good for one use within a reasonable amount of time. After an SMS has been
 received containing the token all subsequent SMS messages with the token will be routed as
 normal.

 An app can only have one request at a time if the app already has a request pending it will
 be replaced with a new request. Note: This method will never trigger an SMS disambiguation
 dialog. If this method is called on a device that has multiple active subscriptions this SmsManager instance has been created with getDefault() and no user-defined
 default subscription is defined the subscription ID associated with this message will be
 INVALID which will result in the operation being completed on the subscription associated
 with logical slot 0. Use getSmsManagerForSubscriptionId(int) to ensure the
 operation is performed on the correct subscription.","prefixes String : this is a list of prefixes string separated by REGEX_PREFIX_DELIMITER. The
matching SMS message should have at least one of the prefixes in the beginning of the
message.
This value may be null . |||
intent PendingIntent : this intent is sent when the matching SMS message is received.
This value must never be null . |||","String Token to include in an SMS message.
 
 This value may be null . |||","Manages SMS operations such as sending data text and pdu SMS messages.
 Get this object by calling the static method  getDefault() . To create an instance of
  SmsManager  associated with a specific subscription ID call
  getSmsManagerForSubscriptionId(int) . This is typically used for devices that support
 multiple active subscriptions at once.

  For information about how to behave as the default SMS app on Android 4.4 (API level 19)
 and higher see  Telephony .",
"<android.provider.MediaStore: String getVersion(Context,String)>",NEITHER,SOURCE,"Return an opaque version string describing the MediaStore state. Applications that import data from MediaStore into their own
 caches can use this to detect that MediaStore has undergone
 substantial changes and that data should be rescanned. No other assumptions should be made about the meaning of the version.","context Context : This value must never be null . |||
volumeName String : specific volume to obtain an opaque version string for.
Must be one of the values returned from getExternalVolumeNames(android.content.Context) .
This value must never be null . |||",String This value will never be null . |||,"The contract between the media provider and applications. Contains
 definitions for the supported URIs and columns.
  
 The media provider provides an indexed collection of common media types such
 as  Audio   Video  and  Images  from any attached
 storage devices. Each collection is organized based on the primary MIME type
 of the underlying content; for example  image/*  content is indexed
 under  Images . The  Files  collection provides a broad view
 across all collections and does not filter by MIME type.","Provides convenience classes to access the content providers supplied by
 Android. Android ships with a number of content providers that store common data such
 as contact informations calendar information and media files. These classes
 provide simplified methods of adding or retrieving data from these content
 providers. For information about how to use a content provider see the  Content Providers  developer
 guide."
"<android.app.Person: void writeToParcel(Parcel,int)>",NEITHER,NEITHER,Flatten this object in to a Parcel.,"dest Parcel : The Parcel in which the object should be written. |||
flags int : Value is either 0 or a combination of Parcelable.PARCELABLE_WRITE_RETURN_VALUE and android.os.Parcelable.PARCELABLE_ELIDE_DUPLICATES |||",void,"Provides an immutable reference to an entity that appears repeatedly on different surfaces of the
 platform. For example this could represent the sender of a message.","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 designâ€”especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activityâ€”allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User ."
